"user","age","gender","place_of_birth","place_of_residence","l2","l3","l4","l5","l6"
"eng42","","","","","","","","","
"eng42","33","male","Budapest","Vancouver","Hungarian","English","","","
"eng42","33","male","Budapest","Vancouver","Hungarian","English","","","
"eng42","33","male","Budapest","Vancouver","Hungarian","English","","","
"eng44","5","asdasd","asdasd","asdasd","asdasd","","","","
"eng45","5","asd","asdasd","asdasdasd","asdasd","","","","
"eng47","5","sdf","sdf","sdf","asdasd","","","","
"eng49","6","","","","","","","","
"eng51","2","d","a","sdf","asdasd","","","","
"eng51","2","d","a","sdf","asdasd","","","","
"eng51","2","d","a","sdf","asdasd","","","","
"eng51","2","d","a","sdf","asdasd","","","","
"eng51","2","a","sdf","d","asdasd","","","","
"eng52","4","sdf","d","asdasdasd","s","","","","
"eng53","4","d","g","asdasdasd","s","","","","
"eng54","4","s","f","s","s","","","","
"eng56","4","asd","asd","asd","asd","","","","
"eng57","66","asd","d","s","a","","","","
"eng58","4","s","g","asd","a","","","","
"eng59","4","s","","","","","","","
"eng60","3","","","","","","","","
"eng61","2","","","","","","","","
"eng63","5","s","d","asd","s","","","","
"eng64","4","s","f","a","s","","","","
"eng66","5","2","1","s","5","","","","
"eng67","123","m","d","a","s","","","","
